type,u,g,r,i,z,u-g,i-z
6,15.72227,14.71667,13.88061,13.92633,13.64355,1.0056,0.28278
6,16.06407,14.64845,14.15975,14.54102,13.89739,1.41562,0.64363
6,24.68007,23.00128,21.58674,20.06429,19.17304,1.67879,0.89125
6,19.74355,17.35201,16.33827,15.96977,15.79798,2.39154,0.17179
6,23.68366,23.69,23.04219,23.90395,23.05196,-0.00634,0.85199
6,22.25192,19.8948,18.61303,18.09531,17.76095,2.35712,0.33436
6,22.08957,20.00277,19.19337,18.87517,18.67473,2.0868,0.20044
6,20.17505,19.15269,18.78881,18.64152,18.61709,1.02236,0.02443
6,19.96873,18.86623,18.43717,18.2473,18.19142,1.1025,0.05588
6,24.62334,24.49801,24.95541,22.37571,23.20589,0.12533,-0.83018
6,23.05001,20.67885,19.17406,18.3478,17.82657,2.37116,0.52123
6,22.59262,25.20348,24.63683,23.92198,23.86038,-2.61086,0.0616
6,21.96404,24.81421,25.60201,23.77342,21.98325,-2.85017,1.79017
6,23.44081,23.08946,23.18946,22.64892,22.01698,0.35135,0.63194
6,24.62849,22.91046,21.25653,20.05933,19.32625,1.71803,0.73308
6,24.487,23.14614,23.00866,22.3754,21.49693,1.34086,0.87847
6,24.29666,22.95582,22.0397,21.40575,21.16976,1.34084,0.23599
6,23.05169,21.01549,20.19562,19.82059,19.54304,2.0362,0.27755
6,23.3352,24.93071,22.62537,21.52015,20.77233,-1.59551,0.74782
6,24.32455,23.85759,24.06487,22.38461,23.53333,0.46696,-1.14872
6,25.62657,25.11919,24.93462,24.18846,20.88641,0.50738,3.30205
6,23.99945,23.32623,23.6168,23.51079,21.79423,0.67322,1.71656
6,25.45971,22.79694,21.45213,21.06068,20.28575,2.66277,0.77493
6,22.56013,20.63042,19.86948,19.46688,19.32489,1.92971,0.14199
6,22.86516,22.40552,22.49094,22.09348,21.36811,0.45964,0.72537
6,22.76859,21.5442,21.26876,21.17971,20.63086,1.22439,0.54885
6,26.06763,24.13672,22.98892,21.87426,21.7918,1.93091,0.08246
6,24.85393,24.37034,22.88286,22.60274,22.34212,0.48359,0.26062
6,24.79445,24.28729,22.73196,23.01594,22.50017,0.50716,0.51577
6,24.70806,24.89776,23.15098,22.67471,22.3746,-0.1897,0.30011
6,25.26765,23.76603,22.35846,20.25431,18.90967,1.50162,1.34464
6,23.99286,23.72033,22.92608,23.20735,21.58427,0.27253,1.62308
6,23.52228,25.14563,25.12823,22.50048,22.75127,-1.62335,-0.25079
6,25.53192,23.97763,23.11963,22.00015,21.6785,1.55429,0.32165
6,23.50923,25.35011,22.89622,22.06285,21.08661,-1.84088,0.97624
6,25.413,24.93764,24.60016,21.94806,22.70907,0.47536,-0.76101
6,23.72777,24.76049,23.18935,21.32349,20.46279,-1.03272,0.8607
6,25.32979,25.21701,24.50119,22.05901,22.65675,0.11278,-0.59774
6,25.57195,25.69752,25.90011,24.4356,20.80684,-0.12557,3.62876
6,25.89326,24.76638,24.85954,23.92606,20.72339,1.12688,3.20267
6,25.50588,25.12433,24.70245,24.69845,20.94419,0.38155,3.75426
6,23.74591,24.72004,24.75352,23.47278,20.81692,-0.97413,2.65586
6,13.90316,10.83634,10.08564,9.966885,10.28131,3.06682,-0.314425
6,24.63465,25.11437,21.99699,19.93756,22.82689,-0.47972,-2.88933
6,24.5288,24.93926,25.0529,24.3618,23.20119,-0.41046,1.16061
6,17.61532,27.92304,27.65571,23.78974,25.55437,-10.30772,-1.76463
6,25.02509,25.90299,26.07239,22.46669,23.23714,-0.8779,-0.77045
6,25.56441,25.14957,23.91,24.07687,22.33827,0.41484,1.7386
6,18.68349,17.3406,16.82861,17.18438,16.51495,1.34289,0.66943
6,18.60651,17.55765,17.18003,17.05345,16.96442,1.04886,0.08903
6,22.23541,25.64892,24.36275,23.39499,22.84117,-3.41351,0.55382
6,18.82678,17.84268,17.54955,17.42253,17.35698,0.9841,0.06555
6,24.21244,25.11437,24.80202,22.04303,22.07579,-0.90193,-0.03276
6,24.70426,25.26682,24.37735,22.57683,22.68975,-0.56256,-0.11292
6,24.46606,25.12631,25.31201,22.53652,22.64397,-0.66025,-0.10745
